gene_id,gene_name,GSM4143959_HUtSMC-AP-1-KO-Rep-1,GSM4143960_HUtSMC-AP-1-KO-Rep-2,GSM4143961_HUtSMC-AP-1-KO-Rep-3,GSM4143962_HUtSMC-Negative-Ctrl-Rep-1,GSM4143963_HUtSMC-Negative-Ctrl-Rep-2,GSM4143964_HUtSMC-Negative-Ctrl-Rep-3
ENSG00000049245,VAMP3,4067,4332,3577,4268,4547,4179
ENSG00000269925,ENSG00000269925,7,6,3,9,9,5
ENSG00000049246,PER3,143,125,107,372,256,249
ENSG00000236266,ENSG00000236266,0,0,0,0,0,1
ENSG00000049247,UTS2,0,1,0,1,1,0
ENSG00000049249,TNFRSF9,0,1,1,3,0,2
ENSG00000270330,ENSG00000270330,0,0,0,0,0,0
ENSG00000116288,PARK7,4232,4068,3427,4327,4368,3760
ENSG00000200344,Y_RNA,0,0,0,0,0,0
ENSG00000284747,ENSG00000284747,4,2,5,2,2,3
ENSG00000284716,ENSG00000284716,1,1,2,0,2,2
ENSG00000116285,ERRFI1,4558,7580,6046,3193,4807,4862
ENSG00000238290,ERRFI1-DT,3,5,4,4,6,4
ENSG00000232848,RPL7AP18,0,2,0,2,0,2
ENSG00000229305,ENSG00000229305,0,0,0,0,0,0
ENSG00000227634,LINC01714,2,1,2,0,0,0
ENSG00000200975,RNU1-7P,0,0,0,0,0,0
ENSG00000233645,ENSG00000233645,0,0,0,0,0,0
ENSG00000251977,RNU6-991P,0,0,0,0,0,0
ENSG00000162426,SLC45A1,38,70,66,58,44,55
ENSG00000252254,Y_RNA,0,0,1,0,1,1
ENSG00000142599,RERE,1703,2294,1838,2128,2412,2652
ENSG00000232912,RERE-AS1,2,2,1,3,2,2
ENSG00000221083,ENSG00000221083,0,0,0,0,0,0
ENSG00000270282,ENSG00000270282,0,0,0,0,0,0
ENSG00000234619,RPL7P11,1,0,1,0,0,1
ENSG00000224315,RPL7P7,0,0,0,1,0,0
ENSG00000222511,Y_RNA,0,0,0,0,0,0
ENSG00000226545,ENSG00000226545,0,0,0,0,0,0
ENSG00000228423,ENSG00000228423,1,1,0,0,0,0
ENSG00000229716,RPL23AP19,0,0,0,0,1,0
ENSG00000074800,ENO1,28157,27446,25871,16289,16124,15456
ENSG00000274258,MIR6728,0,0,0,0,0,0
ENSG00000230679,ENO1-AS1,2,4,0,2,4,1
ENSG00000201725,RNU6-304P,0,0,0,0,0,0
ENSG00000238249,HMGN2P17,14,11,15,6,5,9
ENSG00000232208,ENSG00000232208,0,0,0,0,0,0
ENSG00000232663,ENSG00000232663,0,0,0,0,0,0
ENSG00000131686,CA6,0,0,0,1,0,0
ENSG00000265141,RN7SL451P,0,0,0,0,0,0
ENSG00000197241,SLC2A7,0,0,0,0,0,0
ENSG00000142583,SLC2A5,10,21,30,44,8,10
ENSG00000252404,ENSG00000252404,0,0,0,0,0,0
ENSG00000180758,GPR157,173,229,171,155,171,165
ENSG00000228526,MIR34AHG,1791,1281,2059,2230,2803,2957
ENSG00000284357,MIR34A,0,0,0,0,0,0
ENSG00000234546,LNCTAM34A,17,20,5,21,17,12
ENSG00000049239,H6PD,2755,2932,3127,4911,3828,4324
ENSG00000171621,SPSB1,706,892,1175,1180,1234,1309
ENSG00000284652,ENSG00000284652,1,0,4,5,3,1
ENSG00000284693,LINC02606,18,26,20,47,25,24
ENSG00000252956,RNA5SP40,0,0,0,0,0,0
ENSG00000235263,ENSG00000235263,0,0,0,0,0,0
ENSG00000171612,SLC25A33,127,137,94,86,123,115
ENSG00000231181,ENSG00000231181,0,3,1,0,0,2
ENSG00000188807,TMEM201,353,319,233,179,210,194
ENSG00000171608,PIK3CD,185,177,255,271,269,265
ENSG00000179840,PIK3CD-AS1,0,0,0,0,0,0
ENSG00000233268,ENSG00000233268,0,0,0,0,0,0
ENSG00000231789,PIK3CD-AS2,10,9,8,16,8,14
ENSG00000171603,CLSTN1,5692,6342,6104,6817,7279,7258
ENSG00000271264,MZT1P1,0,0,0,0,0,0
ENSG00000280113,ENSG00000280113,0,0,0,0,1,0
ENSG00000178585,CTNNBIP1,327,385,345,546,483,379
ENSG00000223989,ENSG00000223989,0,0,0,1,0,1
ENSG00000162441,LZIC,534,458,463,507,481,492
ENSG00000228150,ENSG00000228150,3,0,1,2,1,0
ENSG00000173614,NMNAT1,299,270,229,331,286,292
ENSG00000202415,RN7SKP269,0,0,1,1,1,0
ENSG00000283611,TMEM274P,0,0,0,0,0,0
ENSG00000265521,MIR5697,1,0,0,1,0,0
ENSG00000241326,ENSG00000241326,0,0,0,0,0,0
ENSG00000162444,RBP7,1,0,0,0,0,0
ENSG00000130939,UBE4B,1395,1295,1239,1630,1642,1533
ENSG00000224340,RPL21P21,1,0,0,0,0,0
ENSG00000233623,PGAM1P11,0,0,0,1,0,0
ENSG00000201746,RNU6-828P,0,0,0,0,0,0
ENSG00000054523,KIF1B,1670,1680,1371,1654,1705,1958
ENSG00000264881,ENSG00000264881,0,0,0,0,0,0
ENSG00000199562,RNU6-37P,1,0,0,1,0,0
ENSG00000264501,RN7SL731P,0,0,0,0,0,0
ENSG00000284735,ENSG00000284735,0,0,0,0,0,0
ENSG00000284642,ENSG00000284642,6,6,7,10,6,2
ENSG00000142657,PGD,2217,2032,2186,3199,1652,1574
ENSG00000271989,ENSG00000271989,1,0,2,0,0,0
ENSG00000251503,CENPS-CORT,4,1,1,9,2,1
ENSG00000175279,CENPS,81,59,57,60,67,56
ENSG00000241563,CORT,0,1,0,5,0,1
ENSG00000160049,DFFA,1411,1490,1082,1369,1419,1403
ENSG00000203469,ENSG00000203469,0,1,1,0,0,0
ENSG00000142655,PEX14,405,357,301,352,394,371
ENSG00000243267,RN7SL614P,0,0,0,0,0,0
ENSG00000130940,CASZ1,7,7,11,8,8,4
ENSG00000272078,ENSG00000272078,0,0,0,0,0,0
ENSG00000225158,HSPE1P24,0,0,0,0,0,0
ENSG00000175262,C1orf127,0,0,0,0,0,0
ENSG00000215785,CFL1P6,0,0,1,0,1,0
ENSG00000120948,TARDBP,2372,2115,1853,1954,1883,1853
ENSG00000009724,MASP2,1,5,1,0,1,0
ENSG00000116649,SRM,3018,3005,2268,1887,2921,2700
ENSG00000171824,EXOSC10,1794,1560,1423,1475,1447,1557
ENSG00000230337,EXOSC10-AS1,12,8,11,6,16,8
ENSG00000198793,MTOR,1451,1354,1198,1526,1511,1626
ENSG00000225602,MTOR-AS1,0,0,1,0,0,0
ENSG00000253086,RNU6-537P,0,0,0,0,0,0
ENSG00000171819,ANGPTL7,0,0,0,0,0,0
ENSG00000207451,RNU6-291P,0,0,0,0,0,0
ENSG00000238173,RPL39P6,0,0,0,0,0,0
ENSG00000120942,UBIAD1,396,343,288,251,409,429
ENSG00000238199,UBE2V2P3,0,0,0,0,1,0
ENSG00000284646,ENSG00000284646,0,0,0,0,0,0
ENSG00000224338,MTCYBP45,0,0,0,0,0,0
ENSG00000204624,DISP3,1,0,0,1,1,1
ENSG00000235643,LINC01647,1,0,0,0,0,0
ENSG00000284708,ENSG00000284708,0,0,0,0,0,0
ENSG00000116661,FBXO2,5,4,2,10,5,6
ENSG00000132879,FBXO44,148,138,130,228,184,180
ENSG00000116663,FBXO6,43,63,44,119,66,80
ENSG00000116670,MAD2L2,500,430,452,582,447,418
ENSG00000162490,DRAXIN,53,40,41,68,49,34
ENSG00000177674,AGTRAP,296,293,256,328,365,416
ENSG00000215910,C1orf167,1,1,1,1,0,1
ENSG00000177553,C1orf167-AS1,0,0,0,0,0,0
ENSG00000177000,MTHFR,252,243,250,587,367,401
ENSG00000011021,CLCN6,282,226,358,447,244,283
ENSG00000276470,ENSG00000276470,0,0,0,0,0,0
ENSG00000278852,ENSG00000278852,0,0,0,0,0,0
ENSG00000175206,NPPA,0,0,0,1,0,0
ENSG00000275915,ENSG00000275915,0,0,0,0,0,0
ENSG00000120937,NPPB,15,44,23,0,2,2
ENSG00000224904,SBF1P2,1,0,0,0,0,0
ENSG00000199347,RNU5E-1,0,0,0,1,0,1
ENSG00000201801,RNU5E-4P,0,0,0,2,0,2
ENSG00000116685,KIAA2013,1261,1292,1098,959,1031,1041
